text,topic,sentiment
I love this new smartphone! The camera is amazing and battery lasts all day.,technology,positive
"The restaurant service was terrible, food was cold and overpriced.",food,negative
Scientists discover a new exoplanet that could support life.,science,positive
Stock market crashes due to inflation fears.,finance,negative
"This movie was boring and predictable, waste of time.",entertainment,negative
Great team effort! We won the championship after an intense match.,sports,positive
The new restaurant downtown has amazing desserts and friendly staff.,food,positive
"My internet connection has been unstable all week, very frustrating.",technology,negative
The government announced new policies to support small businesses.,finance,positive
"The latest superhero movie exceeded all expectations, thrilling from start to finish.",entertainment,positive
"Our football team lost the match, but the fans were incredibly supportive.",sports,positive
The app interface is confusing and hard to navigate.,technology,negative
Researchers developed a breakthrough treatment for a rare disease.,science,positive
Prices of electric cars are dropping significantly this year.,technology,negative
The customer service representative was very helpful and resolved my issue quickly.,technology,positive
